Date,Invoice No,Product Name,Category,Batch No,Expiry Date,Quantity,Unit Price,Total Sales,Distributor,City,Branch,Sales Rep,Payment Status
2025-05-30 00:00:00,INV-1820,Vitamin D Capsules,Syrup,B-30,2025-02-18,650,37.25,24212.5,ABC Pharma,Vadodara,Branch B,Neha,
2025-11-16 00:00:00,INV-3516,Paracetamol 500mg,Tablet,B-29,2025-02-14,512,77.26,39557.12,HealthPlus,Vadodara,Branch B,Priya,Paid
,INV-5366,Cough Syrup,Syrup,B-48,2025-01-01,799,42.77,34173.23,HealthPlus,Vadodara,Branch A,Amit,Paid
2025-01-08 00:00:00,INV-9595,Cough Syrup,Syrup,B-48,2025-05-06,17,87.38,1485.46,HealthPlus,Ahmedabad,Branch A,Raj,Pending
2025-01-29 00:00:00,INV-7061,Paracetamol 500mg,Capsule,B-45,2025-12-20,561,41.57,,HealthPlus,Ahmedabad,Branch A,Amit,Pending
2025-02-24 00:00:00,INV-6529,Paracetamol 500mg,Tablet,B-29,2025-05-14,69,24.57,1695.33,Care Distributors,Vadodara,Branch B,Neha,
2025-12-06 00:00:00,INV-3422,Azithromycin 250mg,Capsule,B-7,2025-11-17,631,34.94,22047.14,Medico Supplies,Vadodara,Branch B,Priya,Pending
2025-11-28 00:00:00,INV-1203,Cough Syrup,Syrup,B-20,2025-06-26,255,42.06,10725.300000000001,HealthPlus,Vadodara,Branch A,Priya,Partial
2025-11-05 00:00:00,INV-4387,Azithromycin 250mg,Capsule,B-30,2025-03-10,354,57.43,20330.22,Medico Supplies,Ahmedabad,Branch B,Neha,
2025-09-16 00:00:00,INV-2558,Ibuprofen 400mg,Tablet,B-15,2025-09-05,185,32.29,5973.65,HealthPlus,Vadodara,Branch B,Raj,Paid
2025-07-03 00:00:00,INV-4225,Azithromycin 250mg,Capsule,B-25,2025-10-24,572,78.74,45039.28,HealthPlus,Vadodara,Branch B,Raj,Partial
2025-04-06 00:00:00,INV-2343,Azithromycin 250mg,Syrup,B-15,2025-01-29,876,91.88,80486.87999999999,HealthPlus,Vadodara,Branch A,Amit,
2025-08-01 00:00:00,INV-4452,Paracetamol 500mg,Capsule,B-40,2025-09-19,853,50.58,43144.74,ABC Pharma,Vadodara,Branch A,Amit,Partial
2025-04-06 00:00:00,INV-9044,Vitamin D Capsules,Tablet,B-29,2025-04-18,715,52.75,37716.25,Medico Supplies,Vadodara,Branch B,Raj,Partial
2025-12-24 00:00:00,INV-9823,Paracetamol 500mg,Syrup,B-2,2025-11-04,379,60.2,22815.8,Medico Supplies,Ahmedabad,Branch A,Raj,
2025-11-20 00:00:00,INV-2305,Ibuprofen 400mg,Syrup,B-23,2025-07-23,295,37.73,11130.349999999999,ABC Pharma,Vadodara,Branch A,Amit,Pending
2025-02-03 00:00:00,INV-7880,Ibuprofen 400mg,Tablet,B-27,2025-09-08,709,52.17,36988.53,Care Distributors,Ahmedabad,Branch B,Raj,Partial
2025-07-24 00:00:00,INV-6406,Cough Syrup,Capsule,B-25,2025-10-02,756,88.57,66958.92,HealthPlus,Vadodara,Branch B,Neha,
,INV-5704,Cough Syrup,Tablet,B-20,2025-01-09,687,98.23,67484.01000000001,ABC Pharma,Vadodara,Branch B,Priya,Paid
2025-12-24 00:00:00,INV-2980,Ibuprofen 400mg,Syrup,B-1,2025-09-02,381,44.95,17125.95,ABC Pharma,Vadodara,Branch B,Priya,Pending
2025-02-20 00:00:00,INV-6165,Ibuprofen 400mg,Syrup,B-49,2025-05-19,766,26.17,20046.22,ABC Pharma,Vadodara,Branch B,Amit,
2025-03-23 00:00:00,INV-2570,Azithromycin 250mg,Capsule,B-23,2025-12-01,27,84.31,2276.37,Medico Supplies,Vadodara,Branch A,Amit,
2025-04-06 00:00:00,INV-5900,paracetamol 500mg,Tablet,B-9,2025-12-03,945,48.27,45615.15,Medico Supplies,Vadodara,Branch A,Neha,Paid
2025-06-08 00:00:00,INV-8524,Paracetamol 500mg,Syrup,B-39,2025-04-08,107,87.22,9332.539999999999,ABC Pharma,Ahmedabad,Branch A,Priya,Pending
2025-05-09 00:00:00,INV-8628,Paracetamol 500mg,Capsule,B-11,2025-09-27,633,7.06,4468.98,Care Distributors,Vadodara,Branch B,Priya,Pending
,INV-6312,Cough Syrup,Capsule,B-35,2025-12-03,521,25.48,13275.08,Care Distributors,Ahmedabad,Branch B,Raj,Paid
2025-09-16 00:00:00,INV-6146,Ibuprofen 400mg,Syrup,B-36,2025-04-29,770,32.8,25255.999999999996,Medico Supplies,Vadodara,Branch A,Priya,Paid
2025-08-16 00:00:00,INV-9045,Paracetamol 500mg,Capsule,B-42,2025-11-25,355,6.98,2477.9,Medico Supplies,Ahmedabad,Branch B,Raj,Pending
2025-08-03 00:00:00,INV-9503,Azithromycin 250mg,Tablet,B-31,2025-02-16,533,40.04,21341.32,ABC Pharma,Vadodara,Branch B,Raj,Paid
2025-04-19 00:00:00,INV-1984,Vitamin D Capsules,Capsule,B-33,2025-07-06,556,64.27,35734.119999999995,Care Distributors,Vadodara,Branch A,Amit,Paid
2025-10-17 00:00:00,INV-9396,Azithromycin 250mg,Syrup,B-14,2025-08-17,585,92.3,53995.5,ABC Pharma,Ahmedabad,Branch A,Amit,Partial
2025-09-06 00:00:00,INV-2057,Ibuprofen 400mg,Tablet,B-10,2025-04-20,726,65.24,,Care Distributors,Ahmedabad,Branch B,Priya,Partial
2025-05-18 00:00:00,INV-6486,Cough Syrup,Capsule,B-48,2025-01-25,885,4.03,3566.55,ABC Pharma,Ahmedabad,Branch B,Neha,Paid
2025-06-05 00:00:00,INV-7785,Azithromycin 250mg,Tablet,B-48,2025-05-30,405,83.54,33833.700000000004,ABC Pharma,Ahmedabad,Branch A,Neha,
2025-01-20 00:00:00,INV-9688,Ibuprofen 400mg,Tablet,B-24,2025-02-09,409,91.62,37472.58,Care Distributors,Ahmedabad,Branch B,Priya,Pending
2025-03-30 00:00:00,INV-7247,Azithromycin 250mg,Capsule,B-16,2025-01-13,510,56.99,29064.9,ABC Pharma,Vadodara,Branch A,Raj,Pending
2025-01-07 00:00:00,INV-4505,Ibuprofen 400mg,Capsule,B-9,2025-07-11,678,16.4,11119.199999999999,Care Distributors,Vadodara,Branch A,Raj,Paid
2025-10-28 00:00:00,INV-7973,Ibuprofen 400mg,Tablet,B-8,2025-11-10,538,68.09,36632.42,ABC Pharma,Ahmedabad,Branch B,Amit,Paid
2025-11-28 00:00:00,INV-9164,Paracetamol 500mg,Capsule,B-2,2025-08-12,230,76.87,17680.100000000002,Medico Supplies,Vadodara,Branch A,Raj,Partial
2025-04-03 00:00:00,INV-1607,Paracetamol 500mg,Tablet,B-26,2025-12-07,309,12.58,3887.22,Medico Supplies,Vadodara,Branch B,Priya,Paid
2025-11-25 00:00:00,INV-8876,Ibuprofen 400mg,Tablet,B-30,2025-11-25,475,42.21,20049.75,HealthPlus,Ahmedabad,Branch B,Raj,Paid
2025-12-15 00:00:00,INV-5924,Paracetamol 500mg,Syrup,B-8,2025-01-07,110,14.93,1642.3,Care Distributors,Ahmedabad,Branch B,Amit,Pending
2025-02-21 00:00:00,INV-3470,Cough Syrup,Capsule,B-34,2025-03-07,162,20.04,3246.48,ABC Pharma,Vadodara,Branch B,Raj,Pending
2025-08-13 00:00:00,INV-2029,Paracetamol 500mg,Syrup,B-9,2025-04-26,523,50.93,26636.39,Medico Supplies,Vadodara,Branch A,Raj,Pending
2025-06-16 00:00:00,INV-3908,Paracetamol 500mg,Tablet,B-18,2025-08-25,649,62.98,40874.02,HealthPlus,Ahmedabad,Branch B,Raj,Paid
2025-03-05 00:00:00,INV-8174,Cough Syrup,Capsule,B-44,2025-08-25,295,31.39,9260.05,ABC Pharma,Ahmedabad,Branch A,Amit,Paid
2025-12-25 00:00:00,INV-2043,Paracetamol 500mg,Tablet,B-32,2025-04-02,335,79.2,26532.0,Medico Supplies,Vadodara,Branch B,Priya,Pending
2025-05-18 00:00:00,INV-6083,Cough Syrup,Syrup,B-12,2025-07-14,831,19.88,16520.28,Medico Supplies,Vadodara,Branch B,Priya,
2025-08-13 00:00:00,INV-6586,Paracetamol 500mg,Syrup,B-49,2025-06-05,134,58.23,7802.82,ABC Pharma,Vadodara,Branch B,Raj,Partial
2025-01-10 00:00:00,INV-3680,Vitamin D Capsules,Capsule,B-38,2025-06-17,54,40.43,2183.22,Care Distributors,Vadodara,Branch A,Priya,Pending
2025-11-06 00:00:00,INV-5846,Ibuprofen 400mg,Capsule,B-42,2025-05-02,607,76.22,46265.54,Care Distributors,Ahmedabad,Branch B,Raj,Paid
2025-05-31 00:00:00,INV-4468,Cough Syrup,Syrup,B-19,2025-01-30,447,5.91,2641.77,Medico Supplies,Ahmedabad,Branch A,Amit,Paid
2025-11-14 00:00:00,INV-8023,Paracetamol 500mg,Tablet,B-34,2025-04-28,786,59.68,46908.48,Care Distributors,Vadodara,Branch B,Amit,
2025-06-20 00:00:00,INV-4266,Cough Syrup,Capsule,B-31,2025-04-09,693,72.67,50360.31,HealthPlus,Ahmedabad,Branch B,Neha,
2025-04-19 00:00:00,INV-8860,Vitamin D Capsules,Tablet,B-9,2025-10-10,954,40.0,38160.0,HealthPlus,Ahmedabad,Branch B,Raj,
2025-11-24 00:00:00,INV-7512,Vitamin D Capsules,Tablet,B-4,2025-09-22,344,49.53,17038.32,Medico Supplies,Ahmedabad,Branch B,Amit,
2025-07-27 00:00:00,INV-7270,Cough Syrup,Capsule,B-24,2025-09-04,795,86.39,68680.05,ABC Pharma,Vadodara,Branch A,Raj,Partial
2025-02-13 00:00:00,INV-6682,Paracetamol 500mg,Syrup,B-8,2025-10-29,728,77.07,56106.95999999999,Medico Supplies,Ahmedabad,Branch B,Priya,Partial
2025-02-23 00:00:00,INV-5303,Ibuprofen 400mg,Syrup,B-32,2025-07-22,878,51.78,45462.840000000004,HealthPlus,Vadodara,Branch A,Neha,
2025-07-24 00:00:00,INV-2593,Cough Syrup,Syrup,B-7,2025-03-25,714,21.52,15365.279999999999,Care Distributors,Ahmedabad,Branch A,Raj,
2026-01-01 00:00:00,INV-5936,Cough Syrup,Tablet,B-41,2025-10-04,907,72.39,65657.73,HealthPlus,Ahmedabad,Branch B,Amit,Partial
2025-05-18 00:00:00,INV-4413,Paracetamol 500mg,Syrup,B-42,2025-12-01,65,90.03,5851.95,Medico Supplies,Vadodara,Branch B,Amit,Paid
2025-02-14 00:00:00,INV-4741,Azithromycin 250mg,Tablet,B-36,2025-10-20,573,57.92,33188.16,Care Distributors,Vadodara,Branch A,Raj,Pending
2025-12-13 00:00:00,INV-3067,Vitamin D Capsules,Syrup,B-35,2025-04-26,788,78.81,62102.28,Medico Supplies,Vadodara,Branch A,Amit,Paid
2025-11-27 00:00:00,INV-4738,Vitamin D Capsules,Tablet,B-23,2025-09-28,563,66.27,,Care Distributors,Ahmedabad,Branch A,Priya,Pending
2025-09-16 00:00:00,INV-4254,Azithromycin 250mg,Syrup,B-1,2025-01-01,214,98.54,,Care Distributors,Ahmedabad,Branch A,Neha,Partial
2025-03-31 00:00:00,INV-8522,Cough Syrup,Capsule,B-17,2025-12-29,471,26.93,12684.03,Medico Supplies,Vadodara,Branch B,Amit,
2025-01-20 00:00:00,INV-2002,Ibuprofen 400mg,Syrup,B-15,2025-11-28,330,2.77,914.1,Care Distributors,Vadodara,Branch A,Amit,Paid
2025-08-01 00:00:00,INV-1489,Cough Syrup,Capsule,B-47,2025-11-05,276,3.32,916.3199999999999,ABC Pharma,Vadodara,Branch A,Raj,
2025-07-22 00:00:00,INV-2377,Azithromycin 250mg,Tablet,B-43,2025-04-01,87,57.66,5016.42,Medico Supplies,Vadodara,Branch A,Raj,Partial
2025-10-07 00:00:00,INV-2642,Ibuprofen 400mg,Capsule,B-14,2025-02-03,889,9.07,,Medico Supplies,Vadodara,Branch B,Neha,Pending
2025-10-30 00:00:00,INV-4087,Ibuprofen 400mg,Syrup,B-20,2025-02-26,874,94.71,82776.54,Medico Supplies,Ahmedabad,Branch A,Amit,Partial
2025-09-10 00:00:00,INV-2700,Azithromycin 250mg,Capsule,B-5,2025-11-22,396,79.01,31287.960000000003,HealthPlus,Vadodara,Branch A,Raj,
2025-08-30 00:00:00,INV-3486,Azithromycin 250mg,Capsule,B-15,2025-07-12,622,7.08,4403.76,Care Distributors,Vadodara,Branch A,Raj,Partial
2025-12-19 00:00:00,INV-4560,Vitamin D Capsules,Syrup,B-30,2025-01-18,939,33.09,31071.510000000002,HealthPlus,Ahmedabad,Branch B,Amit,Paid
2025-11-01 00:00:00,INV-4388,Vitamin D Capsules,Syrup,B-19,2025-10-16,582,22.55,13124.1,ABC Pharma,Ahmedabad,Branch A,Raj,Paid
2025-10-17 00:00:00,INV-5751,Vitamin D Capsules,Syrup,B-31,2025-04-06,644,63.93,41170.92,Medico Supplies,Vadodara,Branch B,Neha,Pending
2025-01-22 00:00:00,INV-6875,Ibuprofen 400mg,Capsule,B-26,2025-04-16,558,61.43,34277.94,Medico Supplies,Ahmedabad,Branch A,Raj,Pending
2025-02-10 00:00:00,INV-6161,Ibuprofen 400mg,Syrup,B-38,2025-02-18,634,10.06,6378.04,Care Distributors,Vadodara,Branch B,Amit,Partial
2025-05-11 00:00:00,INV-7570,vitamin d capsules,Capsule,B-24,2025-02-27,326,32.97,10748.22,HealthPlus,Ahmedabad,Branch A,Priya,Pending
2025-02-02 00:00:00,INV-8999,Cough Syrup,Syrup,B-34,2025-06-18,404,16.83,6799.32,ABC Pharma,Vadodara,Branch A,Priya,
,INV-5950,Paracetamol 500mg,Syrup,B-10,2025-12-30,429,40.92,17554.68,ABC Pharma,Ahmedabad,Branch B,Amit,Paid
2025-05-31 00:00:00,INV-6212,Paracetamol 500mg,Capsule,B-25,2025-10-01,779,42.59,,Care Distributors,Vadodara,Branch B,Raj,Pending
2025-07-14 00:00:00,INV-3406,Azithromycin 250mg,Capsule,B-11,2025-12-18,624,9.2,5740.799999999999,ABC Pharma,Ahmedabad,Branch A,Neha,Paid
2025-01-26 00:00:00,INV-9271,Cough Syrup,Syrup,B-13,2025-10-21,335,6.48,2170.8,Care Distributors,Ahmedabad,Branch B,Amit,Partial
2025-01-07 00:00:00,INV-5880,Ibuprofen 400mg,Capsule,B-36,2025-07-19,191,67.18,12831.380000000001,Care Distributors,Ahmedabad,Branch A,Amit,Pending
2025-07-16 00:00:00,INV-9212,Paracetamol 500mg,Capsule,B-4,2025-06-12,926,50.65,,Care Distributors,Vadodara,Branch B,Neha,Pending
2025-02-01 00:00:00,INV-1484,Ibuprofen 400mg,Tablet,B-19,2025-08-16,574,57.97,33274.78,Medico Supplies,Vadodara,Branch A,Priya,Partial
2025-11-19 00:00:00,INV-5280,Paracetamol 500mg,Capsule,B-43,2025-07-26,360,19.24,6926.4,Care Distributors,Vadodara,Branch B,Priya,
2025-09-17 00:00:00,INV-7856,Cough Syrup,Syrup,B-22,2025-07-20,126,31.06,3913.56,HealthPlus,Vadodara,Branch B,Neha,Paid
2025-08-09 00:00:00,INV-5549,Azithromycin 250mg,Syrup,B-39,2025-03-01,243,75.45,18334.350000000002,ABC Pharma,Vadodara,Branch B,Priya,
2025-01-30 00:00:00,INV-3122,Cough Syrup,Tablet,B-21,2025-05-29,827,64.77,53564.78999999999,Care Distributors,Vadodara,Branch B,Neha,
2025-01-28 00:00:00,INV-2334,Vitamin D Capsules,Capsule,B-22,2025-02-13,980,24.35,23863.0,Care Distributors,Vadodara,Branch A,Priya,Partial
2025-08-15 00:00:00,INV-3971,Ibuprofen 400mg,Tablet,B-15,2025-05-12,227,37.63,8542.01,ABC Pharma,Vadodara,Branch A,Amit,Pending
2025-06-18 00:00:00,INV-3563,Azithromycin 250mg,Syrup,B-41,2025-11-17,999,78.12,78041.88,Care Distributors,Ahmedabad,Branch B,Priya,
2025-08-01 00:00:00,INV-3035,Ibuprofen 400mg,Tablet,B-12,2025-12-28,68,84.21,5726.28,Medico Supplies,Vadodara,Branch A,Priya,
2025-05-12 00:00:00,INV-4052,Paracetamol 500mg,Tablet,B-27,2025-02-14,972,62.14,60400.08,Care Distributors,Ahmedabad,Branch A,Raj,Paid
2025-10-01 00:00:00,INV-9436,Azithromycin 250mg,Capsule,B-50,2025-11-01,981,51.98,50992.38,Care Distributors,Vadodara,Branch A,Priya,
2025-05-05 00:00:00,INV-6880,Ibuprofen 400mg,Capsule,B-45,2025-01-08,291,48.42,14090.220000000001,Medico Supplies,Ahmedabad,Branch A,Priya,
2025-10-20 00:00:00,INV-7630,Azithromycin 250mg,Syrup,B-3,2025-07-18,436,7.22,3147.92,HealthPlus,Vadodara,Branch A,Amit,
2025-11-01 00:00:00,INV-5394,Vitamin D Capsules,Tablet,B-50,2025-10-23,366,88.94,32552.04,HealthPlus,Ahmedabad,Branch B,Neha,Partial
2025-01-29 00:00:00,INV-8805,Vitamin D Capsules,Tablet,B-35,2025-10-19,592,24.33,,Care Distributors,Vadodara,Branch A,Priya,Partial
2025-05-12 00:00:00,INV-3339,Vitamin D Capsules,Syrup,B-29,2025-09-29,232,68.81,15963.92,Care Distributors,Vadodara,Branch B,Amit,Paid
2025-01-04 00:00:00,INV-7837,Vitamin D Capsules,Capsule,B-32,2025-07-11,190,30.57,5808.3,Care Distributors,Ahmedabad,Branch A,Raj,Pending
2025-02-01 00:00:00,INV-6480,Cough Syrup,Tablet,B-49,2025-05-30,221,25.75,5690.75,Care Distributors,Ahmedabad,Branch A,Priya,Partial
2025-12-13 00:00:00,INV-7949,Ibuprofen 400mg,Capsule,B-27,2025-07-18,550,6.77,3723.4999999999995,HealthPlus,Vadodara,Branch A,Neha,Partial
2025-06-22 00:00:00,INV-3899,Azithromycin 250mg,Tablet,B-35,2025-10-20,740,80.62,59658.8,ABC Pharma,Ahmedabad,Branch B,Priya,
2025-08-20 00:00:00,INV-7118,Azithromycin 250mg,Capsule,B-33,2025-02-22,589,89.28,52585.92,Care Distributors,Ahmedabad,Branch B,Amit,Paid
2025-11-16 00:00:00,INV-1021,Paracetamol 500mg,Syrup,B-12,2025-09-11,795,63.71,50649.45,HealthPlus,Vadodara,Branch B,Raj,Pending
2025-09-01 00:00:00,INV-5668,Vitamin D Capsules,Syrup,B-42,2025-07-06,181,30.25,5475.25,HealthPlus,Vadodara,Branch B,Raj,Pending
2025-07-12 00:00:00,INV-1267,Ibuprofen 400mg,Syrup,B-32,2025-09-21,835,58.61,48939.35,Medico Supplies,Vadodara,Branch A,Neha,Paid
